name,link
Electrodes & Electrical Equipments,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electrodes-electrical-equipments.html
Electrodes & Welding Equipment,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electrodes-welding-equipment.html
Electronic Goods,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electronic-goods.html
Electronics - Components,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electronics-components.html
Engineering,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/engineering.html
Engineering & Construction,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/engineering-construction.html
Engineering - Construction,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/engineering-construction.html
Engineering - Industrial Equipments,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/engineering-industrial-equipments.html
ETF,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/etf.html
Fasteners,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/fasteners.html
Ferro Manganese,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/ferro-manganese.html
Fertilizers,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/fertilizers.html
"Film Production, Distribution & Entertainment",https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/film-production-distribution-entertainment.html
Finance - Housing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/finance-housing.html
Finance - Investment,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/finance-investment.html
Finance - NBFC,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/finance-nbfc.html
Finance - Others,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/finance-others.html
Finance - Stock Broking,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/finance-stock-broking.html
Finance Term Lending,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/finance-term-lending.html
Fish/Poultry & Meat Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/fishpoultry-meat-products.html
Food & Drug Retailing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/food-drug-retailing.html
Food Processing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/food-processing.html
Footwear,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/footwear.html
Gas Distribution,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/gas-distribution.html
Glass & Glass Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/glass-glass-products.html
Gold,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/gold.html
Gold ETF,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/gold-etf.html
Ground Freight & Logistics Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/ground-freight-logistics-services.html
Hospital & Healthcare Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/hospital-healthcare-services.html
"Hotel, Resort & Restaurants",https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/hotel-resort-restaurants.html
Household & Personal Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/household-personal-products.html
Infrastructure,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/infrastructure.html
Iron & Steel,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/iron-steel.html
IT - Education,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/it-education.html
IT - Networking,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/it-networking.html
IT Services & Consulting,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/it-services-consulting.html
Labs & Life Sciences Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/labs-life-sciences-services.html
Laminates/Decoratives,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/laminatesdecoratives.html
Leather,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/leather.html
Leisure Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/leisure-services.html
Life & Health Insurance,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/life-health-insurance.html
Logistics,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/logistics.html
LPG,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/lpg.html
Lubricants,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/lubricants.html
Media,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/media.html
