datetime,pos,neg,neu
29-01-2024 18:39,"[0.9537070393562317, 0.011564034968614578]","[0.020758768543601036, 0.9778314828872681]","[0.025534160435199738, 0.010604551061987877]"
29-01-2024 18:43,[0.023898035287857056],[0.03115427866578102],[0.9449477195739746]
29-01-2024 19:30,[0.015363511629402637],[0.9614585041999817],[0.023177988827228546]
29-01-2024 19:31,"[0.9514646530151367, 0.9514646530151367, 0.9524203538894653]","[0.021952131763100624, 0.021952131763100624, 0.02505241520702839]","[0.02658327855169773, 0.02658327855169773, 0.022527217864990234]"
29-01-2024 19:46,"[0.07894407212734222, 0.16122514009475708]","[0.24155689775943756, 0.08280549943447113]","[0.6794989705085754, 0.7559693455696106]"
29-01-2024 19:47,"[0.14612554013729095, 0.016880085691809654, 0.0745178833603859, 0.0869995579123497, 0.16707123816013336, 0.07275804877281189]","[0.24364323914051056, 0.7745836973190308, 0.5055890083312988, 0.21213504672050476, 0.10396689176559448, 0.47698894143104553]","[0.6102312207221985, 0.20853623747825623, 0.41989317536354065, 0.7008654475212097, 0.7289618253707886, 0.4502530097961426]"
29-01-2024 19:48,"[0.1416143923997879, 0.13410629332065582, 0.10119800269603729]","[0.3055340647697449, 0.09962065517902374, 0.06999287009239197]","[0.5528515577316284, 0.7662730813026428, 0.8288090825080872]"
29-01-2024 19:55,[0.0944204181432724],[0.09653056412935257],[0.8090490698814392]
29-01-2024 20:00,[0.8981095552444458],[0.01056953240185976],[0.09132088720798492]
29-01-2024 20:02,"[0.9496104717254639, 0.1287672072649002]","[0.026220446452498436, 0.8450778722763062]","[0.02416921593248844, 0.02615496516227722]"
29-01-2024 20:13,"[0.03857532516121864, 0.04290718212723732, 0.05042714625597, 0.03959643095731735, 0.040369272232055664, 0.03957609832286835, 0.9435598850250244, 0.7873072028160095]","[0.04396546259522438, 0.03918087109923363, 0.04137442633509636, 0.03557734191417694, 0.03837005794048309, 0.04829926788806915, 0.03312789648771286, 0.19417718052864075]","[0.91745924949646, 0.917911946773529, 0.9081984758377075, 0.9248262643814087, 0.9212606549263, 0.9121246337890625, 0.023312164470553398, 0.01851559802889824]"
29-01-2024 20:19,"[0.04804616793990135, 0.0476212352514267, 0.09998954832553864, 0.04266374930739403]","[0.02186879888176918, 0.03419890254735947, 0.10640431940555573, 0.06298267841339111]","[0.9300850033760071, 0.9181798696517944, 0.7936062216758728, 0.8943535685539246]"
29-01-2024 21:09,[0.04915715008974075],[0.0453016497194767],[0.9055412411689758]
29-01-2024 21:37,"[0.9515581130981445, 0.9515581130981445]","[0.022281967103481293, 0.022281967103481293]","[0.026159901171922684, 0.026159901171922684]"
29-01-2024 21:48,[0.4173518419265747],[0.15563656389713287],[0.427011638879776]
29-01-2024 21:58,[0.946325421333313],[0.026228513568639755],[0.027446120977401733]
29-01-2024 22:37,"[0.6563318371772766, 0.6563318371772766]","[0.32104992866516113, 0.32104992866516113]","[0.022618239745497704, 0.022618239745497704]"
29-01-2024 23:31,[0.8711380362510681],[0.008037278428673744],[0.12082462012767792]
30-01-2024 00:01,[0.49928197264671326],[0.011469480581581593],[0.48924848437309265]
30-01-2024 05:53,"[0.03628748282790184, 0.03628748282790184]","[0.8567240834236145, 0.8567240834236145]","[0.10698840767145157, 0.10698840767145157]"
30-01-2024 06:02,"[0.9424951076507568, 0.9424951076507568]","[0.02646961808204651, 0.02646961808204651]","[0.031035274267196655, 0.031035274267196655]"
30-01-2024 06:06,"[0.035183146595954895, 0.035183146595954895]","[0.021274156868457794, 0.021274156868457794]","[0.9435427188873291, 0.9435427188873291]"
30-01-2024 06:13,[0.9542132616043091],[0.018895629793405533],[0.0268910750746727]
30-01-2024 06:19,"[0.03145545348525047, 0.12755215167999268, 0.03145545348525047]","[0.0359531044960022, 0.8443597555160522, 0.0359531044960022]","[0.932591438293457, 0.02808806300163269, 0.932591438293457]"
30-01-2024 06:20,[0.9527221322059631],[0.021002084016799927],[0.026275726035237312]
30-01-2024 06:21,[0.841111421585083],[0.009026166051626205],[0.14986243844032288]
30-01-2024 06:22,[0.8749452829360962],[0.09536994993686676],[0.02968471311032772]
30-01-2024 06:23,[0.883598804473877],[0.035320211201906204],[0.08108092844486237]
30-01-2024 06:28,"[0.8353015780448914, 0.8353015780448914]","[0.02508355863392353, 0.02508355863392353]","[0.13961493968963623, 0.13961493968963623]"
30-01-2024 06:45,[0.527158260345459],[0.16667144000530243],[0.30617037415504456]
30-01-2024 06:56,[0.023764992132782936],[0.0706043690443039],[0.9056307077407837]
30-01-2024 07:08,[0.9524543285369873],[0.022218672558665276],[0.025327038019895554]
30-01-2024 07:10,[0.9423698782920837],[0.02692130021750927],[0.0307087991386652]
30-01-2024 08:07,[0.038457129150629044],[0.14293929934501648],[0.8186035752296448]
