"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","25 Aug 2009","","","","2960.60"
"NIFTY SMALLCAP 100","24 Aug 2009","","","","2953.30"
"NIFTY SMALLCAP 100","21 Aug 2009","","","","2876.10"
"NIFTY SMALLCAP 100","20 Aug 2009","","","","2842.50"
"NIFTY SMALLCAP 100","19 Aug 2009","","","","2806.60"
"NIFTY SMALLCAP 100","18 Aug 2009","","","","2820.20"
"NIFTY SMALLCAP 100","17 Aug 2009","","","","2776.40"
"NIFTY SMALLCAP 100","14 Aug 2009","","","","2864.60"
"NIFTY SMALLCAP 100","13 Aug 2009","","","","2868.40"
"NIFTY SMALLCAP 100","12 Aug 2009","","","","2777.90"
"NIFTY SMALLCAP 100","11 Aug 2009","","","","2772.40"
"NIFTY SMALLCAP 100","10 Aug 2009","","","","2751.00"
"NIFTY SMALLCAP 100","07 Aug 2009","","","","2793.50"
"NIFTY SMALLCAP 100","06 Aug 2009","","","","2856.20"
"NIFTY SMALLCAP 100","05 Aug 2009","","","","2900.70"
"NIFTY SMALLCAP 100","04 Aug 2009","","","","2879.60"
"NIFTY SMALLCAP 100","03 Aug 2009","","","","2869.70"
"NIFTY SMALLCAP 100","31 Jul 2009","","","","2836.30"
"NIFTY SMALLCAP 100","30 Jul 2009","","","","2817.10"
"NIFTY SMALLCAP 100","29 Jul 2009","","","","2795.70"
"NIFTY SMALLCAP 100","28 Jul 2009","","","","2823.50"
"NIFTY SMALLCAP 100","27 Jul 2009","","","","2784.00"
"NIFTY SMALLCAP 100","24 Jul 2009","","","","2748.90"
"NIFTY SMALLCAP 100","23 Jul 2009","","","","2707.00"
"NIFTY SMALLCAP 100","22 Jul 2009","","","","2649.20"
"NIFTY SMALLCAP 100","21 Jul 2009","","","","2681.20"
"NIFTY SMALLCAP 100","20 Jul 2009","","","","2684.70"
"NIFTY SMALLCAP 100","17 Jul 2009","","","","2623.10"
"NIFTY SMALLCAP 100","16 Jul 2009","","","","2569.70"
"NIFTY SMALLCAP 100","15 Jul 2009","","","","2551.10"
"NIFTY SMALLCAP 100","14 Jul 2009","","","","2458.80"
"NIFTY SMALLCAP 100","13 Jul 2009","","","","2370.70"
"NIFTY SMALLCAP 100","10 Jul 2009","","","","2441.40"
"NIFTY SMALLCAP 100","09 Jul 2009","","","","2494.10"
"NIFTY SMALLCAP 100","08 Jul 2009","","","","2494.90"
"NIFTY SMALLCAP 100","07 Jul 2009","","","","2587.20"
"NIFTY SMALLCAP 100","06 Jul 2009","","","","2590.60"
